num_threads,trial,time_shared,num_nodes_shared,correct_shared,time_local,num_nodes_local,correct_local,time_blended,num_nodes_blended,correct_local,pos_idx
1,1,19576,1213,correct,19342,1213,correct,19555,1213,correct,0
1,2,19262,1213,correct,19062,1213,correct,19435,1213,correct,0
1,3,19091,1213,correct,19113,1213,correct,19176,1213,correct,0
2,1,11900,1715,correct,15919,1715,correct,17083,1715,correct,0
2,2,16035,1715,correct,11717,1715,correct,12029,1715,correct,0
2,3,11954,1715,correct,13078,1715,correct,11861,1715,correct,0
3,1,10701,3079,correct,10466,3079,correct,10612,3079,correct,0
3,2,10714,3079,correct,12340,3079,incorrect,10480,3079,correct,0
3,3,10705,3079,correct,10405,3079,correct,10453,3079,correct,0
4,1,8955,2983,correct,13220,2983,correct,8493,2983,correct,0
4,2,10358,2983,correct,8954,2983,correct,8424,2983,correct,0
4,3,8827,2983,correct,8244,2983,correct,8404,2983,correct,0
5,1,9933,3854,correct,9402,3854,correct,9514,3854,correct,0
5,2,10033,3854,correct,10453,3854,incorrect,9486,3854,incorrect,0
5,3,11665,3854,correct,9701,3854,correct,9517,3854,correct,0
6,1,10818,4274,correct,8088,4274,correct,8056,4274,correct,0
6,2,8590,4274,correct,8245,4274,incorrect,8166,4274,correct,0
6,3,8320,4274,correct,8756,4274,correct,8242,4274,correct,0
7,1,8658,5089,correct,8135,5089,correct,8644,5089,correct,0
7,2,9629,5089,correct,8337,5089,correct,10569,5089,correct,0
7,3,12371,5089,correct,8602,5089,correct,8486,5089,incorrect,0
8,1,8881,6445,correct,8327,6445,incorrect,8491,6445,incorrect,0
8,2,10342,6445,correct,11674,6445,incorrect,9636,6445,incorrect,0
8,3,8867,6445,correct,8273,6445,correct,8445,6445,correct,0
9,1,12115,6407,correct,11216,6407,incorrect,12493,6407,correct,0
9,2,11766,6407,correct,10459,6407,incorrect,9489,6407,correct,0
9,3,10758,6407,correct,9076,6407,incorrect,10753,6407,incorrect,0
10,1,11858,6911,correct,10660,6911,correct,9727,6911,correct,0
10,2,11858,6911,correct,8680,6911,incorrect,9718,6911,incorrect,0
10,3,10449,6911,correct,9378,6911,correct,11595,6911,incorrect,0
11,1,11408,8140,correct,11036,8140,incorrect,10586,8140,incorrect,0
11,2,11766,8140,correct,11129,8140,incorrect,10412,8140,incorrect,0
11,3,10937,8140,correct,9829,8140,incorrect,10094,8140,correct,0
12,1,10668,8644,correct,10539,8644,incorrect,10303,8644,correct,0
12,2,10992,8644,correct,10445,8644,incorrect,10477,8644,incorrect,0
12,3,10643,8644,correct,10400,8644,incorrect,10664,8644,incorrect,0
13,1,11993,9468,correct,10074,9468,incorrect,10279,9468,incorrect,0
13,2,11859,9468,correct,10700,9468,incorrect,10793,9468,incorrect,0
13,3,11741,9468,correct,10336,9468,incorrect,10172,9468,incorrect,0
14,1,11531,9962,correct,10635,9962,incorrect,9692,9962,incorrect,0
14,2,11084,9962,correct,10034,9962,incorrect,11174,9962,incorrect,0
14,3,11088,9962,correct,10238,9962,incorrect,11061,9962,incorrect,0
15,1,11185,10590,correct,10599,10590,incorrect,10119,10590,incorrect,0
15,2,11184,10590,correct,11781,10590,incorrect,10727,10590,incorrect,0
15,3,11153,10590,correct,10620,10590,correct,11079,10590,correct,0
16,1,13959,11572,correct,10910,11572,incorrect,11092,11572,incorrect,0
16,2,11125,11572,correct,10927,11572,correct,10889,11572,correct,0
16,3,11195,11572,correct,10547,11572,correct,10980,11048,correct,0
17,1,11633,11123,correct,11630,11413,correct,11172,11891,correct,0
17,2,10661,11891,correct,10464,11352,correct,10186,11258,correct,0
17,3,10383,11891,correct,10937,11352,correct,9599,11166,correct,0
18,1,10732,11106,correct,10838,11178,correct,9581,10473,correct,0
18,2,13762,12071,correct,11648,11208,correct,10648,10973,correct,0
18,3,13921,12839,correct,10388,10879,correct,10835,11168,correct,0
19,1,12103,11507,correct,10208,9874,correct,10252,10654,correct,0
19,2,10906,11507,correct,11130,10029,correct,10372,10819,correct,0
19,3,11871,11507,correct,10447,10279,correct,9931,11055,correct,0
20,1,10206,8602,correct,10166,11033,incorrect,10180,10340,incorrect,0
20,2,14097,12011,correct,9854,10850,correct,9647,9555,correct,0
20,3,12957,10149,correct,10231,9801,incorrect,11270,10950,incorrect,0
21,1,12232,11187,correct,9139,9396,correct,10493,10736,correct,0
21,2,10722,10874,correct,9649,9915,correct,10093,10894,correct,0
21,3,9872,9645,correct,10130,10320,incorrect,9831,10156,correct,0
22,1,9669,9645,correct,9982,10648,incorrect,10221,10217,incorrect,0
22,2,12733,10792,correct,10886,11416,correct,10007,10546,correct,0
22,3,12335,9645,correct,11446,10849,correct,9291,9554,correct,0
23,1,12044,10874,correct,9845,9709,correct,9971,10695,correct,0
23,2,9809,10149,correct,11186,10310,incorrect,9296,10359,incorrect,0
23,3,10212,10149,correct,10371,10115,incorrect,10584,10361,incorrect,0
24,1,17552,13787,correct,9025,10359,incorrect,10409,10320,incorrect,0
24,2,11418,9958,correct,10374,10475,incorrect,9783,10308,incorrect,0
24,3,12854,10782,correct,10072,10280,correct,9529,10134,correct,0
25,1,12986,10554,correct,10286,10533,correct,10180,10499,correct,0
25,2,13929,10335,correct,10187,10860,incorrect,9381,9750,correct,0
25,3,10317,10149,correct,11409,11841,correct,10575,10497,correct,0
26,1,12753,13787,correct,10051,11059,correct,12039,11353,correct,0
26,2,12787,11920,correct,10012,10272,correct,10000,11158,correct,0
26,3,10103,10149,correct,15260,12335,incorrect,9985,10227,correct,0
27,1,11021,10874,correct,10136,10311,correct,11257,10488,correct,0
27,2,11052,10782,correct,10041,10320,correct,10478,9970,correct,0
