num_threads,trial,time_shared,num_nodes_shared,time_local,num_nodes_local,time_blended,num_nodes_blended,pos_idx
1,1,4.18201e+06,616104,4.16307e+06,616104,4.14941e+06,616104,0
1,2,4.16859e+06,616104,4.1625e+06,616104,4.15894e+06,616104,0
1,3,4.17027e+06,616104,4.16784e+06,616104,4.14955e+06,616104,0
2,1,2.49277e+06,626337,2.35905e+06,626337,2.25795e+06,626337,0
2,2,2.55399e+06,626337,2.38406e+06,626337,2.3187e+06,626337,0
2,3,2.49944e+06,626337,2.33117e+06,626337,2.36572e+06,626337,0
3,1,1.73644e+06,648094,1.83582e+06,648094,1.85082e+06,648094,0
3,2,1.72457e+06,648094,1.85464e+06,648094,1.75051e+06,648094,0
3,3,1.76395e+06,648094,1.82019e+06,648094,1.87909e+06,648094,0
4,1,1.44081e+06,648390,1.39892e+06,648390,1.41694e+06,648390,0
4,2,1.49583e+06,648390,1.39453e+06,648390,1.42073e+06,648390,0
4,3,1.49629e+06,648390,1.44344e+06,648390,1.42089e+06,648390,0
5,1,1.40082e+06,678971,1.31128e+06,678971,1.26412e+06,678971,0
5,2,1.41832e+06,678971,1.27894e+06,678971,1.32473e+06,678971,0
5,3,1.39224e+06,678971,1.28981e+06,678971,1.2792e+06,678971,0
6,1,1.37751e+06,681555,1.30716e+06,681555,1.26327e+06,681555,0
6,2,1.39179e+06,681555,1.29846e+06,681555,1.24798e+06,681555,0
6,3,1.4017e+06,681555,1.31983e+06,681555,1.24048e+06,681555,0
7,1,1.20727e+06,687265,1.19765e+06,687265,1.07364e+06,687265,0
7,2,1.18582e+06,687265,1.1357e+06,687265,1.08014e+06,687265,0
7,3,1.19655e+06,687265,1.13193e+06,687265,1.0921e+06,687265,0
8,1,1.23287e+06,724750,1.10116e+06,724750,1.07569e+06,724750,0
8,2,1.32337e+06,724750,1.1892e+06,724750,1.14902e+06,724750,0
8,3,1.236e+06,724750,1.13912e+06,724750,1.12182e+06,724750,0
9,1,1.35062e+06,734631,1.12277e+06,734631,1.06765e+06,734631,0
9,2,1.20045e+06,734631,1.12935e+06,734631,1.10308e+06,734631,0
9,3,1.29622e+06,734631,1.10648e+06,734631,1.07484e+06,734631,0
10,1,1.09581e+06,744333,915138,744333,891421,744333,0
10,2,1.10047e+06,744333,921719,744333,898055,744333,0
10,3,1.13217e+06,744333,921071,744333,839744,744333,0
11,1,1.14125e+06,774674,872499,774674,871848,774674,0
11,2,1.03491e+06,774674,930153,774674,874902,774674,0
11,3,1.03175e+06,774674,905302,774674,877146,774674,0
12,1,1.10246e+06,786275,906842,786275,865403,786275,0
12,2,1.09765e+06,786275,901587,786275,908332,786275,0
12,3,1.08911e+06,786275,925418,786275,917101,786275,0
13,1,1.08457e+06,797951,932935,797951,882854,797951,0
13,2,1.06232e+06,797951,896601,797951,902402,797951,0
13,3,1.06794e+06,797951,907544,797951,886337,797951,0
14,1,1.13252e+06,808515,972134,808515,913322,808515,0
14,2,1.08113e+06,808515,942886,808515,915526,808515,0
14,3,1.11475e+06,808515,939364,808515,881179,808515,0
15,1,1.11177e+06,820447,930464,820447,890826,820447,0
15,2,1.05969e+06,820447,937563,820447,891699,820447,0
15,3,1.10163e+06,820447,925912,820447,895098,820447,0
16,1,1.16821e+06,831121,953351,831121,932572,831121,0
16,2,1.12127e+06,831121,958155,831121,909186,831121,0
16,3,1.15449e+06,831121,943708,831121,917812,831121,0
17,1,1.1768e+06,841373,982462,841373,930999,841373,0
17,2,1.23286e+06,841373,1.01194e+06,841373,916672,841373,0
17,3,1.1533e+06,841373,923428,841373,983267,841373,0
18,1,1.1146e+06,851750,833159,851750,824872,851750,0
18,2,1.05465e+06,851750,906107,851750,899318,851750,0
18,3,1.12022e+06,851750,891752,851750,937013,851750,0
19,1,1.06687e+06,862119,826334,862119,831597,862119,0
19,2,1.11424e+06,862119,858349,862119,833738,862119,0
19,3,1.13765e+06,862119,879629,862119,912192,862119,0
20,1,1.05463e+06,872959,910081,872959,816199,872959,0
20,2,1.10078e+06,872959,897806,872959,860134,872959,0
20,3,1.12148e+06,872959,898161,872959,859650,872959,0
21,1,1.02814e+06,872959,922471,872959,916346,872959,0
21,2,1.16136e+06,872959,913752,872959,908184,872959,0
21,3,1.07553e+06,872959,928356,872959,894367,872959,0
22,1,1.05381e+06,872959,920107,872959,905325,872959,0
22,2,1.10121e+06,872959,951155,872959,857782,872959,0
22,3,1.04801e+06,872959,828355,872959,884957,872959,0
23,1,1.00654e+06,872959,905329,872959,780884,872959,0
23,2,1.08155e+06,872959,804601,872959,797948,872959,0
23,3,1.02385e+06,872959,906551,872959,873012,872959,0
24,1,1.41636e+06,872959,934508,872959,911845,872959,0
24,2,1.23598e+06,872959,920171,872959,1.00817e+06,872959,0
24,3,1.60496e+06,872959,886628,872959,1.03947e+06,872959,0
25,1,1.26937e+06,872959,926265,872959,889518,872959,0
25,2,1.17724e+06,872959,927288,872959,918799,872959,0
25,3,1.23798e+06,872959,927044,872959,907601,872959,0
26,1,1.08751e+06,872959,905747,872959,868896,872959,0
26,2,1.13664e+06,872959,892930,872959,859599,872959,0
26,3,1.19148e+06,872959,891316,872959,927299,872959,0
27,1,1.15956e+06,872959,823795,872959,972157,872959,0
27,2,1.06268e+06,872959,948884,872959,911480,872959,0
27,3,1.15748e+06,872959,909224,872959,828888,872959,0
28,1,1.20173e+06,872959,877937,872959,930812,872959,0
28,2,1.14162e+06,872959,907321,872959,902354,872959,0
28,3,1.12384e+06,872959,826579,872959,852074,872959,0
29,1,1.12779e+06,872959,942288,872959,810796,872959,0
29,2,1.04812e+06,872959,916762,872959,797778,872959,0
29,3,1.06295e+06,872959,934308,872959,876216,872959,0
30,1,1.04196e+06,872959,918600,872959,906075,872959,0
30,2,1.05473e+06,872959,909645,872959,914533,872959,0
30,3,1.08444e+06,872959,949688,872959,896375,872959,0
31,1,1.1063e+06,872959,878849,872959,823431,872959,0
31,2,1.02252e+06,872959,834251,872959,904094,872959,0
31,3,1.00208e+06,872959,821943,872959,822797,872959,0
32,1,1.0339e+06,872959,813856,872959,899379,872959,0
32,2,1.10491e+06,872959,942125,872959,889101,872959,0
32,3,1.069e+06,872959,893122,872959,903210,872959,0
