num_threads,trial,time,num_nodes
1,1,213013,33215
1,2,204240,33215
1,3,203935,33215
1,4,205943,33215
1,5,203998,33215
2,1,189909,56736
2,2,183215,56736
2,3,195898,56736
2,4,188549,56736
2,5,190403,56736
3,1,217482,77973
3,2,215058,77973
3,3,214675,77973
3,4,213520,77973
3,5,218204,77973
4,1,189751,91428
4,2,189472,91428
4,3,185824,91428
4,4,172698,91428
4,5,193441,91428
5,1,261998,142627
5,2,251402,142627
5,3,260691,142627
5,4,245318,142627
5,5,254278,142627
6,1,281635,151390
6,2,263002,151390
6,3,269691,151390
6,4,281927,151390
6,5,253125,151390
7,1,283630,168857
7,2,275549,168857
7,3,274242,168857
7,4,279321,168857
7,5,285546,168857
8,1,274842,173546
8,2,286163,173546
8,3,269805,173546
8,4,282587,173546
8,5,292960,173546
9,1,287552,173974
9,2,278656,173974
9,3,294197,173974
9,4,275238,173974
9,5,290421,173974
10,1,255235,195225
10,2,260284,195225
10,3,257374,195225
10,4,261426,195225
10,5,257095,195225
11,1,271504,195665
11,2,265553,195665
11,3,254529,195665
11,4,269209,195665
11,5,261557,195665
12,1,262523,196106
12,2,255353,196106
12,3,272211,196106
12,4,286258,196106
12,5,282010,196106
13,1,285256,196582
13,2,272121,196582
13,3,278635,196582
13,4,285603,196582
13,5,273504,196582
14,1,277628,197137
14,2,290599,197137
14,3,286481,197137
14,4,299129,197137
14,5,298073,197137
15,1,270472,201818
15,2,276008,201818
15,3,331810,201818
15,4,277615,201818
15,5,279303,201818
16,1,269485,202252
16,2,289507,202252
16,3,274743,202252
16,4,369851,202252
16,5,288860,202252
17,1,296886,202716
17,2,267903,202716
17,3,278888,202716
17,4,300893,202716
17,5,272794,202716
18,1,296634,203180
18,2,281923,203180
18,3,275306,203180
18,4,271832,203180
18,5,278322,203180
19,1,289418,207053
19,2,283661,207053
19,3,293360,207053
19,4,287326,207053
19,5,315016,207053
20,1,294275,207501
20,2,290876,207501
20,3,292485,207501
20,4,286261,207501
20,5,289072,207501
21,1,282703,207501
21,2,274846,207501
21,3,303123,207501
21,4,296898,207501
21,5,285775,207501
22,1,284862,207501
22,2,289330,207501
22,3,272216,207501
22,4,274199,207501
22,5,302127,207501
23,1,277620,207501
23,2,288572,207501
23,3,291735,207501
23,4,270051,207501
23,5,276716,207501
24,1,298849,207501
24,2,313354,207501
24,3,283253,207501
24,4,294890,207501
24,5,290319,207501
25,1,303084,207501
25,2,290938,207501
25,3,282444,207501
25,4,307153,207501
25,5,293355,207501
26,1,295858,207501
26,2,297017,207501
26,3,290399,207501
26,4,298233,207501
26,5,299881,207501
27,1,278498,207501
27,2,290046,207501
27,3,284037,207501
27,4,284758,207501
27,5,306899,207501
28,1,282308,207501
28,2,276500,207501
28,3,290091,207501
28,4,285734,207501
28,5,282975,207501
29,1,283622,207501
29,2,313737,207501
29,3,285059,207501
29,4,268392,207501
29,5,271388,207501
30,1,270195,207501
30,2,274387,207501
30,3,298871,207501
30,4,291052,207501
30,5,287200,207501
31,1,301020,207501
31,2,311215,207501
31,3,319934,207501
31,4,270351,207501
31,5,287108,207501
32,1,282787,207501
32,2,299107,207501
32,3,297172,207501
32,4,293911,207501
32,5,284867,207501
