num_threads,trial,time,num_nodes
1,1,2.22298e+06,252888
1,2,2.17457e+06,252888
1,3,2.1675e+06,252888
2,1,2.8646e+06,447636
2,2,2.78772e+06,447636
2,3,2.75691e+06,447636
3,1,2.36767e+06,509956
3,2,2.3671e+06,506648
3,3,2.36056e+06,509956
4,1,2.20646e+06,527464
4,2,2.22171e+06,527464
4,3,2.21075e+06,527464
5,1,1.06981e+06,357010
5,2,1.01734e+06,357010
5,3,1.01107e+06,357145
6,1,2.27125e+06,512452
6,2,1.00403e+06,355372
6,3,1.04834e+06,355372
7,1,2.08932e+06,556494
7,2,2.01393e+06,563516
7,3,2.05135e+06,563931
8,1,1.83996e+06,560759
8,2,1.8405e+06,560759
8,3,1.83218e+06,560759
9,1,1.84681e+06,565770
9,2,1.83347e+06,565770
9,3,1.87878e+06,565770
10,1,2.03283e+06,594585
10,2,2.0642e+06,599934
10,3,1.97403e+06,592817
11,1,1.7945e+06,596498
11,2,1.80343e+06,599652
11,3,1.78907e+06,601691
12,1,1.82776e+06,603774
12,2,1.87251e+06,603706
12,3,1.81091e+06,603774
13,1,1.81431e+06,620074
13,2,1.83057e+06,620557
13,3,1.80303e+06,620150
14,1,1.76773e+06,516828
14,2,1.81594e+06,516828
14,3,1.79475e+06,516828
15,1,984336,483068
15,2,995299,483068
15,3,1.02654e+06,483068
16,1,1.31067e+06,488099
16,2,1.07434e+06,488099
16,3,1.20249e+06,488099
17,1,1.12997e+06,504525
17,2,1.24345e+06,497851
17,3,2.4014e+06,656592
18,1,1.84908e+06,653888
18,2,1.91899e+06,653888
18,3,1.86035e+06,653888
19,1,1.98872e+06,656419
19,2,1.94952e+06,656419
19,3,1.96908e+06,656419
20,1,1.96497e+06,659135
20,2,2.08694e+06,659135
20,3,1.93864e+06,659135
21,1,2.05562e+06,662824
21,2,2.0527e+06,662824
21,3,2.08758e+06,662824
22,1,2.01936e+06,669293
22,2,1.96555e+06,669293
22,3,1.99203e+06,669293
23,1,2.05724e+06,673169
23,2,2.0684e+06,673169
23,3,1.97816e+06,673169
24,1,2.0067e+06,677693
24,2,2.10572e+06,677693
24,3,2.04993e+06,677693
25,1,2.08422e+06,684835
25,2,2.12637e+06,684835
25,3,2.0938e+06,684835
26,1,2.05768e+06,676611
26,2,2.02244e+06,676611
26,3,2.12379e+06,676611
27,1,2.02663e+06,686448
27,2,2.10074e+06,686448
27,3,2.04591e+06,686448
28,1,2.15891e+06,693309
28,2,2.39939e+06,693309
28,3,2.08016e+06,693309
29,1,2.13225e+06,701042
29,2,2.23082e+06,701042
29,3,2.1773e+06,701042
30,1,2.13846e+06,701042
30,2,2.10786e+06,701042
30,3,2.14558e+06,701042
31,1,2.13618e+06,701042
31,2,2.41096e+06,701042
31,3,2.14381e+06,701042
32,1,2.0859e+06,701042
32,2,2.15531e+06,701042
32,3,2.20972e+06,701042
